ID do usuário,Nome de usuário,ID do comentário,Comente,Hora dos comentários,Página inicial do usuário,URL do avatar,polarity_textblob,subjectivity_textblob
6848140597,brunno_guedes18,"=""17919262626059761""","Ser for uma indireta nubank, pode tirar o cavalinho da chuva kkk","26/02/2025, 06:38:07",https://www.instagram.com/brunno_guedes18,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/455972761_880846823937075_1977308861653514466_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=fOybuG1MYQQQ7kNvwEPE7sh&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfIt5uyxRfjOXHXPcaRMbJCZQ8ae9YFSZiKrJq33Z9-rgA&oe=6826D14B&_nc_sid=0985b0,0.0,0.0
6104525079,dvd.rec11,"=""18055904594116701""",@rafael_ghidelli real kkkkk,"26/02/2025, 09:19:18",https://www.instagram.com/dvd.rec11,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/449672199_401794062877270_5703116964993898357_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=l7yTGIA3-HEQ7kNvwFHA8r8&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfICzlQNQEUCVQzt03Lu78ettfk2M4k2YHbf8SS2qjbUBA&oe=6826BEA5&_nc_sid=0985b0,0.2,0.30000000000000004
4178452709,funakialexandre,"=""18041183384524780""","O atendimento chat da Nubank é inútil.  Apenas dizem que as opções são as do app. Gerência só em banco com sede física, o resto é enrolação e caça níquel.","26/02/2025, 10:12:20",https://www.instagram.com/funakialexandre,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/310003643_1074740690074119_3422506753793607947_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=E0Rr9aHxzA8Q7kNvwHAUqCR&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfJ_HQnTBigb3shodyCHKLc4bmswYNGuPS6jBIo5_avc4Q&oe=6826B278&_nc_sid=0985b0,0.0,0.0
2303632907,priiscila_menezess,"=""17986695722639687""",Ativar pra proteger meus 50 reais de limite 🤣,"26/02/2025, 10:21:16",https://www.instagram.com/priiscila_menezess,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/488569108_1658488254872811_7732141460681003501_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=h3w-nBXA4Q4Q7kNvwGQsXhS&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfJ2erw3u9Xqo4MwstGlHY2j5xZx3jNV420TZGQM29ittQ&oe=6826BB40&_nc_sid=0985b0,0.0,0.0
1495428601,nubank,"=""17995249325770899""","@funakialexandre ficamos preocupados com o seu relato, poderia nos explicar com mais detalhes a sua dúvida?","26/02/2025, 11:15:33",https://www.instagram.com/nubank,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/324089383_1107918419880288_2067674984575890345_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=IBej-yk-jgUQ7kNvwEvX6k9&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfJIyubWhd491UBlUprXf8CNkn3sKIMZ84bvDnYWVhKzsg&oe=6826B87A&_nc_sid=0985b0,0.0,0.0
1434466360,sales.marco,"=""18359470564124986""",O cara tem teletranaporte. Esta no futuro e ainda usa fone de ouvido com fio? E microfone? Kkkk,"26/02/2025, 12:31:05",https://www.instagram.com/sales.marco,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/448332618_1913134195773910_7407645667174289484_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=i1gO7U9WfWcQ7kNvwEtXJd2&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfKamuIHkuk6rcrCkPnkgsqYDm_9WHHkzby_9ziLRTQqOQ&oe=6826B81C&_nc_sid=0985b0,0.0,0.0
217647596,luacostapena,"=""18048617504020487""",@funakialexandre concordo com vc!,"26/02/2025, 12:55:16",https://www.instagram.com/luacostapena,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/452849652_918895070043860_7149623498036118219_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=Hsd8_pOPAj0Q7kNvwEJXUFM&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfLhzeeXE9J2TTCk3iD6-65uqp6oDon8VuzZMN3V3mKAlA&oe=6826CE2A&_nc_sid=0985b0,0.0,0.0
4178452709,funakialexandre,"=""18025875527640445""",@nubank mentira. Vocês querem seus clientes superendividados. Tentei renegociação antes do vencimento e disseram que as únicas opções são as disponíveis no app.,"26/02/2025, 12:55:25",https://www.instagram.com/funakialexandre,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/310003643_1074740690074119_3422506753793607947_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=E0Rr9aHxzA8Q7kNvwHAUqCR&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfJ_HQnTBigb3shodyCHKLc4bmswYNGuPS6jBIo5_avc4Q&oe=6826B278&_nc_sid=0985b0,0.0,0.0
217647596,luacostapena,"=""18026179817348360""",Atendimento via chat péssimo!,"26/02/2025, 12:55:34",https://www.instagram.com/luacostapena,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/452849652_918895070043860_7149623498036118219_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=Hsd8_pOPAj0Q7kNvwEJXUFM&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfLhzeeXE9J2TTCk3iD6-65uqp6oDon8VuzZMN3V3mKAlA&oe=6826CE2A&_nc_sid=0985b0,0.0,0.0
1495428601,nubank,"=""18067393123893275""","Entendemos a sua preocupação, Alexandre. Para podermos analisar tal situação com cuidado e lhe dar todas as informações necessárias, pedimos que entre em contato com o nosso time através do canal de atendimento a seguir:

— 4020 0185 (para capitais e regiões metropolitanas);
— ou 0800 591 2117 (para outras localidades).

No mais, estaremos sempre à disposição e esperamos que tudo seja tranquilamente esclarecido.","26/02/2025, 13:18:04",https://www.instagram.com/nubank,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/324089383_1107918419880288_2067674984575890345_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=IBej-yk-jgUQ7kNvwEvX6k9&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfJIyubWhd491UBlUprXf8CNkn3sKIMZ84bvDnYWVhKzsg&oe=6826B87A&_nc_sid=0985b0,0.0,0.0
5522308972,v_draien,"=""18160433656337552""",☯️,"26/02/2025, 15:49:35",https://www.instagram.com/v_draien,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/481005724_1359880708660050_2905539966600872114_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=W220hsTbRlYQ7kNvwHDKVAX&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfLwzMDIiYMi7T-kV3_daawciT_wXNFyRz7sj5aA5G79Sw&oe=6826B491&_nc_sid=0985b0,0.0,0.0
410864109,brunalpx,"=""18090961948491528""",Aí sim,"26/02/2025, 16:16:15",https://www.instagram.com/brunalpx,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/474385501_1200588814969687_1672790495520002351_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=fazvc-2emJMQ7kNvwFYpLZk&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfJexsiHK-TOQtIEeYKPYgbpYA3tY8QMldxGqI-feu4OvQ&oe=6826A955&_nc_sid=0985b0,0.0,0.0
36384446914,studiosmonteiro,"=""18026239097646097""",@aniellefeldmann bota um óculos aí minha filha,"26/02/2025, 17:35:11",https://www.instagram.com/studiosmonteiro,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/432594062_691352549618587_130731910547109091_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=NTKSILe8anEQ7kNvwELoh_8&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfLi5PuOKJKth2geO1krReYR4Zv4hwCQuMVVspmZrF9jpg&oe=6826C252&_nc_sid=0985b0,0.0,0.0
1495428601,nubank,"=""17850032907378796""","@diegoportilha Com o Modo Rua, o Nubank avança nos cuidados com a sua segurança digital, usando a tecnologia para proteger e facilitar a sua vida.

E para ativar esse benefício gratuitamente no seu app do Nubank, basta definir um limite de gastos fora de casa e indicar suas redes, Wi-Fi seguras.
Você pode escolher mais de uma rede.

Entre no menu principal do app, indicado pelo botão de perfil no canto superior esquerdo da tela;
Vá à seção “Segurança”;
Clique em “Modo Rua” e depois em ""Continuar"";
Estipule o valor máximo das suas transações enquanto estiver na rua. Para confirmar, clique no botão “Definir valor máximo”;
Agora, selecione suas redes, Wi-Fi seguras;
Clique no botão “Pronto” para concluir a ativação.","26/02/2025, 18:17:24",https://www.instagram.com/nubank,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/324089383_1107918419880288_2067674984575890345_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=IBej-yk-jgUQ7kNvwEvX6k9&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfJIyubWhd491UBlUprXf8CNkn3sKIMZ84bvDnYWVhKzsg&oe=6826B87A&_nc_sid=0985b0,0.35,0.45
8646149308,minhasplantas_beautifulplants,"=""18053044241140400""",Que top 👏🏼👏🏼👏🏼,"26/02/2025, 18:18:31",https://www.instagram.com/minhasplantas_beautifulplants,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/272464249_111232311348513_1074867446470940289_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=SI5OxXZl8fsQ7kNvwFKTBWq&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfLRyfmNiucBIn60rw8Awkmg49eT3Oe1JTM0BxP6D0RRiQ&oe=6826A89A&_nc_sid=0985b0,0.5,0.5
962594578,aniellefeldmann,"=""18060585890066646""",@studiosmonteiro 😂😂,"26/02/2025, 18:21:35",https://www.instagram.com/aniellefeldmann,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/472840840_869486238456632_1960107181905993569_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=84EuT7QCA1IQ7kNvwFBU9-W&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfIxdi2mjAEI5obM3l1LTzipai5r20mq5KyuX8YO9rKQww&oe=6826B032&_nc_sid=0985b0,0.0,0.0
1584157233,renata_sbotelho,"=""18071080054657451""","Até aqui @nubank foi comigo, espero que continue sendo... Só acho que deveriam dar mais crédito aos clientes, invés de famosos...dar oprtunide","26/02/2025, 19:11:54",https://www.instagram.com/renata_sbotelho,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/482645541_9615952115093753_5762778286420415738_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=489sxbywZr4Q7kNvwGQo0_X&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfKCanmFDHHWHhG2e_ezS6QTDRR1VM3quiEG3ZFAxtb9Xg&oe=6826A5F4&_nc_sid=0985b0,0.0,0.0
1584157233,renata_sbotelho,"=""18383348734112396""","@renata_sbotelho da oportunidade as pessoas que pagam em dia, movimentam suas contas... Povão mesmo sabe a galera que abraçou vcs @nubank","26/02/2025, 19:13:04",https://www.instagram.com/renata_sbotelho,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/482645541_9615952115093753_5762778286420415738_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=489sxbywZr4Q7kNvwGQo0_X&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfKCanmFDHHWHhG2e_ezS6QTDRR1VM3quiEG3ZFAxtb9Xg&oe=6826A5F4&_nc_sid=0985b0,0.0,0.0
2109352857,_.nanda_magalhaes,"=""18075362752674265""",Vou fazer isso 🤣,"26/02/2025, 20:27:29",https://www.instagram.com/_.nanda_magalhaes,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/495965958_18474007546064858_2495665217562877863_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=0R0JwL6ni2QQ7kNvwFAC2-S&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfL1BQa2UZXMhvH0T-jPtMAkYzytCEc6-egBlLjQ-yBN7Q&oe=6826A8B5&_nc_sid=0985b0,0.0,0.0
8635180081,rayyxuu,"=""18064373959744123""",Por um momento parecia o Dinho dos mamonas,"26/02/2025, 23:00:19",https://www.instagram.com/rayyxuu,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/362907738_1354136228645897_4370507349516467023_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=PBxh_gECuvMQ7kNvwHIOWdj&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfLKJ8YIUPi2g6tcDAFaCJbAsySeAjzAfxqCzgqI-NEERA&oe=6826B90E&_nc_sid=0985b0,0.0,0.0
58691995274,zezemaria8272,"=""17927702952033625""",😍iiii876799,"07/03/2025, 10:10:09",https://www.instagram.com/zezemaria8272,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/488957930_1419957219417202_8294746775205387300_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=2XS_LlStNQAQ7kNvwHDwZVE&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfJaursymSoHDeO-Ilh73NbxHd_h3pM2DjHGfPSFQBeaWA&oe=6826B6E9&_nc_sid=0985b0,0.0,0.0
58691995274,zezemaria8272,"=""18131226478404676""",,"07/03/2025, 10:10:13",https://www.instagram.com/zezemaria8272,https://instagram.fxap3-1.fna.fbcdn.net/v/t51.2885-19/488957930_1419957219417202_8294746775205387300_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fxap3-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QGV39ZDqqIQQrIewvxG_-ImQn9eeecE-its58mxKoCeXBwnTxYdG8OPDbDbFfHIeYWLMgJcdVVplfILPaLaZHqP&_nc_ohc=2XS_LlStNQAQ7kNvwHDwZVE&_nc_gid=cvhvaHxhWheVE9wj0w1osA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfJaursymSoHDeO-Ilh73NbxHd_h3pM2DjHGfPSFQBeaWA&oe=6826B6E9&_nc_sid=0985b0,0.0,0.0
